meetnet;protocol;locatie;jaar;aantal_taken_nu;reden_nu
Kamsalamander;Amfibieën - Larven en metamorfen;Viskot - Poel B;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Boomkikker;Amfibieën - Larven en metamorfen;Zwin - Kleine vlakte 13;2017;1;Gebied tijdelijk ontoegankelijk
Kommavlinder;Vlinders - Transecten;Kamp van Beverlo;2016;3;Bronpopulatie niet kunnen lokaliseren
Vuursalamander;Vuursalamander - Transecten;Trimpont;2016;1;Veiligheid
Kamsalamander;Amfibieën - Larven en metamorfen;Dauteweyers - Poel n18;2017;1;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;Groot Schietveld 1;2017;1;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;Groot Schietveld Zuid 2;2017;1;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;Heibos 1;2017;1;Gebied permanent ontoegankelijk (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;Heilig - Geestgoed 1;2017;1;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;Leeuwerweg 1;2017;1;Gebied permanent ontoegankelijk (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;Makegemse bossen 1;2017;1;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;N1-Zemstsesteenweg 1;2017;1;Gebied niet geschikt (te schrappen locatie)
Kempense heidelibel;Libellen - Populatietelling per locatie;Hageven Verkeerde Lieve Heer;2017;1;Telgebied gewijzigd tijdens veldseizoen
Speerwaterjuffer;Libellen - Populatietelling per locatie;Vallei van de Zijpbeek slaaphuis;2017;1;Telgebied nog niet volledig duidelijk
Veldparelmoervlinder;Vlinders - Transecten;Gelderhorsten;2017;3;Gebied niet toegankelijk (locatie schrappen)
Kommavlinder;Vlinders - Transecten;Kamp van Beverlo;2017;3;Telgebied nog niet volledig duidelijk
Gerande oeverspin;Gerande oeverspin - Inhaalslag;Drijhoekbos;2017;1;Gebied niet geschikt
Gerande oeverspin;Gerande oeverspin - Inhaalslag;Haar;2017;1;Niet toegankelijk
Gerande oeverspin;Gerande oeverspin - Inhaalslag;Kwikaard;2017;1;Gebied niet geschikt
Gerande oeverspin;Gerande oeverspin - Inhaalslag;Stamprooierbroek11;2017;1;Tijdelijk niet toegankelijk
Gerande oeverspin;Gerande oeverspin - Inhaalslag;Stamprooierbroek7;2017;1;Tijdelijk niet toegankelijk
Gerande oeverspin;Gerande oeverspin - Inhaalslag;Stamprooierbroek8;2017;1;Tijdelijk niet toegankelijk
