meetnet;protocol;locatie;jaar;aantal_taken_nu;reden_nu
Kamsalamander;Amfibieën - Fuiken;Dauteweyers - Poel n18;2017;2;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Groot Schietveld 1;2017;2;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Groot Schietveld Zuid 2;2017;2;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Heibos 1;2017;2;Gebied permanent ontoegankelijk (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Heilig - Geestgoed 1;2017;2;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Heksenkuil 1;2017;2;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Kortessem 1;2017;2;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Leeuwerweg 1;2017;2;Gebied permanent ontoegankelijk (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;Makegemse bossen 1;2017;2;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Fuiken;N1-Zemstsesteenweg 1;2017;2;Gebied niet geschikt (te schrappen locatie)
Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Kleine Ruiterskuilen;2016;1;Gebied niet toegankelijk door wateroverlast
Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Maat Klein Verkaillen;2016;1;Gebied niet toegankelijk door wateroverlast
Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Sluisbeemden;2016;1;Gebied niet toegankelijk door wateroverlast
Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Teut Grootven;2016;1;Gebied niet toegankelijk door wateroverlast
Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Turfven;2016;1;Gebied niet toegankelijk door wateroverlast
Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Vallei van de zijpbeek slaaphuis;2016;2;Gebied niet toegankelijk door wateroverlast
Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Wortel Kolonie;2016;1;Gebied niet toegankelijk door wateroverlast
Kamsalamander;Amfibieën - Larven en metamorfen;De Duivelskuil 1;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Heksenkuil 1;2017;1;Gebied niet geschikt (te schrappen locatie)
Kamsalamander;Amfibieën - Larven en metamorfen;Kleine Struisbeekvallei - poel 2;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Kooldries - Poel 11;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Kooldries - Poel 18;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Kortessem 1;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Luisterborg 1;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Meertsheuvel - Poel 3;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Nietelbroeken 1;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
Kamsalamander;Amfibieën - Larven en metamorfen;Viskot - Poel A;2017;1;Gebied tijdelijk niet geschikt (geen water in poel)
