meetnet	parameter	soort_nl	soort_wet	jaar	ref_jaar	jaar_centered	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2017	2016	2	0.508243	0.17579	0.424759	0.358397	0.270243	0.240153	0.551715	0.631496	0.846408	0.924173
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2018	2016	3	2.76921	0.988887	2.31069	1.92676	1.5453	1.38646	2.96315	3.4287	4.5771	5.13898
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2019	2016	4	0.12978	0.0620908	0.0973234	0.0778547	0.0558562	0.0481616	0.140282	0.173162	0.245306	0.284031
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2020	2016	5	1.7457	0.772368	1.33554	1.11564	0.792077	0.710956	1.89098	2.27901	3.22873	3.64398
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2021	2016	6	2.5374	0.97834	2.04421	1.7367	1.34136	1.18431	2.68855	3.26556	4.4016	4.92905
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2022	2016	7	0.605281	0.223659	0.493032	0.415251	0.309111	0.277503	0.656358	0.768658	1.00388	1.1402
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2023	2016	8	1.68242	0.626811	1.34576	1.17733	0.866896	0.780467	1.8314	2.12108	2.81467	3.12172
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2024	2016	9	0.668854	0.263728	0.540559	0.448209	0.322942	0.294559	0.729068	0.860757	1.14937	1.29808
Gevlekte witsnuitlibel	diff_previous_year	Gevlekte witsnuitlibel	Leucorrhinia pectoralis	2025	2016	10	2.55978	0.969524	2.05788	1.77345	1.32449	1.16881	2.74974	3.28732	4.44344	5.00792
