parameter	soort_nl	soort_wet	meetcyclus	ref_meetcyclus	periode	ref_periode	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95	duur_meetcyclus	jaar_min	jaar_max
index	Bosbeekjuffer	Calopteryx virgo	2	1	2021-2023	2018-2020	0.742255	0.140284	0.676592	0.623373	0.542383	0.512377	0.781926	0.858438	0.997958	1.05466	3	2021	2023
index	Variabele waterjuffer	Coenagrion pulchellum	2	1	2020-2022	2017-2019	1.21991	0.31177	1.0722	0.948547	0.787209	0.730069	1.30527	1.47373	1.78594	1.93151	3	2020	2022
index	Variabele waterjuffer	Coenagrion pulchellum	3	1	2023-2025	2017-2019	0.734055	0.193078	0.646564	0.567835	0.457393	0.43431	0.788925	0.884102	1.07822	1.16898	3	2023	2025
index	Vroege glazenmaker	Aeshna isoceles	2	1	2020-2022	2017-2019	0.878408	0.19394	0.783461	0.713654	0.603281	0.565352	0.934138	1.02937	1.21327	1.32015	3	2020	2022
index	Vroege glazenmaker	Aeshna isoceles	3	1	2023-2025	2017-2019	0.87728	0.183193	0.803606	0.727681	0.601024	0.559831	0.927471	1.02468	1.19606	1.26784	3	2023	2025
