meetnet;locatie;jaar;type_waarneming;prop_aanwezig;n_nestbuizen
Hazelmuis - Nestbuizen;Broekbos - oost;2020;individuen;0,167;12
Hazelmuis - Nestbuizen;Broekbos - oost;2020;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2020;nest;0,583;12
Hazelmuis - Nestbuizen;Broekbos - oost;2020;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;individuen;0,167;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;nest;0,167;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;individuen;0,083;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;nest;0,333;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2023;individuen;0,000;11
Hazelmuis - Nestbuizen;Broekbos - oost;2023;keutels;0,000;11
Hazelmuis - Nestbuizen;Broekbos - oost;2023;nest;0,091;11
Hazelmuis - Nestbuizen;Broekbos - oost;2023;vraatsporen;0,000;11
Hazelmuis - Nestbuizen;Broekbos - oost;2024;individuen;0,250;12
Hazelmuis - Nestbuizen;Broekbos - oost;2024;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2024;nest;0,250;12
Hazelmuis - Nestbuizen;Broekbos - oost;2024;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2020;individuen;0,385;13
Hazelmuis - Nestbuizen;Broekbos - west;2020;keutels;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2020;nest;0,538;13
Hazelmuis - Nestbuizen;Broekbos - west;2020;vraatsporen;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;individuen;0,385;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;keutels;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;nest;0,077;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;vraatsporen;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;individuen;0,154;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;keutels;0,231;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;nest;0,385;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;vraatsporen;0,077;13
Hazelmuis - Nestbuizen;Broekbos - west;2023;individuen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2023;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2023;nest;0,167;12
Hazelmuis - Nestbuizen;Broekbos - west;2023;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2024;individuen;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2024;keutels;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2024;nest;0,077;13
Hazelmuis - Nestbuizen;Broekbos - west;2024;vraatsporen;0,000;13
Hazelmuis - Nestbuizen;Konenbos;2020;individuen;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2020;keutels;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2020;nest;0,040;25
Hazelmuis - Nestbuizen;Konenbos;2020;vraatsporen;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2021;individuen;0,080;25
Hazelmuis - Nestbuizen;Konenbos;2021;keutels;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2021;nest;0,080;25
Hazelmuis - Nestbuizen;Konenbos;2021;vraatsporen;0,000;25
