locatie;jaar;aantal_totaal;mean
Broekbos;2016;27;10,18750000000000
Broekbos;2017;5;9,93750000000000
Broekbos;2018;6;10,75000000000000
Konenbos;2016;4;10,18750000000000
Konenbos;2017;5;9,93750000000000
Konenbos;2018;10;10,75000000000000
Obsinnich;2016;1;10,18750000000000
Obsinnich;2017;4;9,93750000000000
Obsinnich;2018;0;10,75000000000000
Spoorwegberm 1;2016;19;10,18750000000000
Spoorwegberm 1;2017;20;9,93750000000000
Spoorwegberm 1;2018;24;10,75000000000000
Spoorwegberm 1-2 zuid;2019;34;20,33333333333333
Spoorwegberm 1-2 zuid;2020;19;15,33333333333333
Spoorwegberm 1-2 zuid;2021;31;15,00000000000000
Spoorwegberm 1-2 zuid;2022;16;9,33333333333333
Spoorwegberm 1-2 zuid;2023;21;10,66666666666667
Spoorwegberm 1-2 zuid;2024;19;10,33333333333333
Spoorwegberm 2;2016;4;10,18750000000000
Spoorwegberm 2;2017;13;9,93750000000000
Spoorwegberm 2;2018;5;10,75000000000000
Spoorwegberm 3 noord;2016;11;10,18750000000000
Spoorwegberm 3 noord;2017;17;9,93750000000000
Spoorwegberm 3 noord;2018;18;10,75000000000000
Spoorwegberm 3 zuid;2016;11;10,18750000000000
Spoorwegberm 3 zuid;2017;17;9,93750000000000
Spoorwegberm 3 zuid;2018;16;10,75000000000000
Spoorwegberm 4 noord;2016;13;10,18750000000000
Spoorwegberm 4 noord;2017;21;9,93750000000000
Spoorwegberm 4 noord;2018;27;10,75000000000000
Spoorwegberm 4 noord;2019;20;20,33333333333333
Spoorwegberm 4 noord;2020;21;15,33333333333333
Spoorwegberm 4 noord;2021;11;15,00000000000000
Spoorwegberm 4 noord;2022;8;9,33333333333333
Spoorwegberm 4 noord;2023;8;10,66666666666667
Spoorwegberm 4 noord;2024;9;10,33333333333333
Spoorwegberm 4 zuid;2016;6;10,18750000000000
Spoorwegberm 4 zuid;2017;3;9,93750000000000
Spoorwegberm 4 zuid;2018;8;10,75000000000000
Spoorwegberm 5 noord;2019;7;20,33333333333333
Spoorwegberm 5 noord;2020;6;15,33333333333333
Spoorwegberm 5 noord;2021;3;15,00000000000000
Spoorwegberm 5 noord;2022;4;9,33333333333333
Spoorwegberm 5 noord;2023;3;10,66666666666667
Spoorwegberm 5 noord;2024;3;10,33333333333333
Teuvenerberg noord;2016;24;10,18750000000000
Teuvenerberg noord;2017;15;9,93750000000000
Teuvenerberg noord;2018;16;10,75000000000000
Teuvenerberg zuid;2016;9;10,18750000000000
Teuvenerberg zuid;2017;5;9,93750000000000
Teuvenerberg zuid;2018;5;10,75000000000000
Veursbos middenwest;2016;1;10,18750000000000
Veursbos middenwest;2017;0;9,93750000000000
Veursbos middenwest;2018;0;10,75000000000000
Veursbos noordoost;2016;4;10,18750000000000
Veursbos noordoost;2017;1;9,93750000000000
Veursbos noordoost;2018;2;10,75000000000000
Veursbos noordwest;2016;1;10,18750000000000
Veursbos noordwest;2017;7;9,93750000000000
Veursbos noordwest;2018;4;10,75000000000000
Veursbos zuid;2016;6;10,18750000000000
Veursbos zuid;2017;9;9,93750000000000
Veursbos zuid;2018;2;10,75000000000000
Vrouwenbos;2016;22;10,18750000000000
Vrouwenbos;2017;17;9,93750000000000
Vrouwenbos;2018;29;10,75000000000000
