meetnet;locatie;nestbuis;jaar;datum;primaire_soort;soort_nl;type_waarneming;levensstadium;aantal;versheid_sporen
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;nest;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;vraatsporen;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;keutels;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;juveniel;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;subadult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;adult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;adult/subadult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;nest;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;vraatsporen;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;keutels;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;juveniel;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;subadult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;adult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;adult/subadult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;nest;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;vraatsporen;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;keutels;NA;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;juveniel;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;subadult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;adult;0;NA
Hazelmuis - Nestbuizen;Broekbos - oost;1;2020;2020-04-09;ja;Hazelmuis;individu;adult/subadult;0;NA
