meetnet	parameter	soort_nl	soort_wet	jaar	ref_jaar	jaar_centered	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2017	2017	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2018	2017	2	1.08249	0.211242	0.988477	0.912043	0.775711	0.723511	1.13776	1.23995	1.45862	1.54295
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2019	2017	3	0.713579	0.149225	0.654631	0.584543	0.47697	0.440876	0.767036	0.830881	0.96815	1.01805
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2020	2017	4	0.931759	0.189782	0.846433	0.781798	0.686621	0.648324	0.966494	1.0646	1.29478	1.4034
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2021	2017	5	0.976993	0.194924	0.884527	0.81872	0.707941	0.675076	1.01928	1.12504	1.32091	1.44887
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2022	2017	6	0.761468	0.146205	0.700921	0.639312	0.532174	0.501924	0.81206	0.879569	1.00375	1.07118
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2023	2017	7	0.761767	0.158808	0.693896	0.627375	0.506567	0.474079	0.807523	0.892543	1.03172	1.10644
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2024	2017	8	0.987203	0.218643	0.887266	0.808554	0.695702	0.655051	1.03671	1.13965	1.37257	1.48702
Aardbeivlinder	diff_previous_year	Aardbeivlinder	Pyrgus malvae	2025	2017	9	1.13851	0.283786	0.994794	0.912748	0.779155	0.724707	1.19701	1.33525	1.66254	1.78207
Argusvlinder	diff_previous_year	Argusvlinder	Lasiommata megera	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Argusvlinder	diff_previous_year	Argusvlinder	Lasiommata megera	2017	2016	2	0.771799	0.142596	0.714563	0.651529	0.549956	0.513789	0.816427	0.887424	1.03269	1.07331
Argusvlinder	diff_previous_year	Argusvlinder	Lasiommata megera	2018	2016	3	0.711717	0.138626	0.659515	0.598626	0.484731	0.44713	0.757774	0.820375	0.94792	0.987109
