meetnet	parameter	soort_nl	soort_wet	jaar_min	jaar_max	meetcyclus_min	meetcyclus_max	periode_min	periode_max	mean	sd	lcl_0.95	ucl_0.95	lcl_0.30	lcl_0.60	lcl_0.90	ucl_0.30	ucl_0.60	ucl_0.90
Argusvlinder	trend_jaar	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	-5.5933	1.80257	-9.10786	-2.02277	-6.30178	-7.12081	-8.5523	-4.909	-4.07787	-2.60303
Heivlinder	trend_jaar	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-6.25182	1.78174	-9.7119	-2.70805	-6.95604	-7.76258	-9.16786	-5.57994	-4.75584	-3.28776
Oranje zandoogje	trend_jaar	Oranje zandoogje	Pyronia tithonus	2017	2025	1	3	2017-2019	2023-2025	0.38782	1.6076	-2.73325	3.58734	-0.247645	-0.974762	-2.24217	0.993207	1.73679	3.06299
Argusvlinder	trend_meetcyclus	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	-20.3913	6.08406	-31.7508	-7.84783	-22.9232	-25.5833	-30.0666	-18.2367	-15.3402	-10.0117
Heivlinder	trend_meetcyclus	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-22.5908	5.89136	-33.547	-10.3991	-25.0536	-27.6189	-31.9306	-20.52	-17.7084	-12.5157
Oranje zandoogje	trend_meetcyclus	Oranje zandoogje	Pyronia tithonus	2017	2025	1	3	2017-2019	2023-2025	1.71671	6.5222	-10.494	15.141	-0.987193	-3.84292	-8.67245	4.03252	7.1306	12.8272
Argusvlinder	trend_total	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	-36.2543	9.77447	-53.4233	-15.0778	-40.5926	-44.623	-51.0956	-33.1477	-28.3266	-19.0195
Heivlinder	trend_total	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-39.7311	9.20845	-55.8427	-19.7149	-43.8312	-47.6112	-53.6679	-36.8294	-32.2805	-23.4636
Oranje zandoogje	trend_total	Oranje zandoogje	Pyronia tithonus	2017	2025	1	3	2017-2019	2023-2025	3.8883	13.363	-19.8899	32.5769	-1.96571	-7.53986	-16.5956	8.22765	14.7703	27.3017
