meetnet	regio	parameter	soort_nl	soort_wet	jaar_min	jaar_max	meetcyclus_min	meetcyclus_max	periode_min	periode_max	mean	sd	lcl_0.95	ucl_0.95	lcl_0.30	lcl_0.60	lcl_0.90	ucl_0.30	ucl_0.60	ucl_0.90
Argusvlinder	Antwerpse haven	trend_jaar	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	0.738529	2.58705	-4.27273	5.90452	-0.286515	-1.45264	-3.48485	1.70674	2.90468	5.05127
Argusvlinder	Kustduinen en polders	trend_jaar	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	-11.0124	2.63664	-16.1653	-5.79085	-12.0436	-13.241	-15.3443	-10.0126	-8.80067	-6.64363
Argusvlinder	Limburg	trend_jaar	Argusvlinder	Lasiommata megera	2017	2024	1	3	2017-2017	2023-2024	-23.9134	11.85	-44.3576	2.16843	-29.2283	-34.0014	-41.6214	-20.3179	-14.4612	-2.88118
Heivlinder	Antwerpen en Limburg	trend_jaar	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-6.6125	2.16338	-10.8045	-2.29725	-7.46977	-8.44622	-10.1463	-5.80094	-4.79899	-3.00748
Heivlinder	Kustduinen en polders	trend_jaar	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-6.02053	2.92528	-11.6541	-0.129767	-7.18656	-8.49332	-10.7697	-4.9432	-3.58463	-1.12134
Argusvlinder	Antwerpse haven	trend_meetcyclus	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	3.39513	10.6411	-16.0293	25.7959	-1.14197	-5.6866	-13.23	7.00396	12.1357	21.7902
Argusvlinder	Kustduinen en polders	trend_meetcyclus	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	-36.9621	7.47535	-50.606	-21.2259	-40.15	-43.3434	-48.6419	-34.4265	-30.8215	-24.04
Argusvlinder	Limburg	trend_meetcyclus	Argusvlinder	Lasiommata megera	2017	2024	1	3	2017-2017	2023-2024	-33.0328	15.7854	-58.5	3.27278	-40.4653	-46.3865	-55.4004	-28.8728	-20.8875	-4.28866
Heivlinder	Antwerpen en Limburg	trend_meetcyclus	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-23.695	7.08216	-36.7062	-8.87573	-26.6953	-29.7413	-34.817	-21.2615	-17.8573	-11.4968
Heivlinder	Kustduinen en polders	trend_meetcyclus	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-21.5387	9.80387	-39.0853	-0.515382	-25.7943	-29.8867	-36.6085	-18.3543	-13.585	-4.40832
Argusvlinder	Antwerpse haven	trend_total	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	8.03791	22.3892	-29.4984	58.2517	-2.27449	-11.0551	-24.7177	14.4978	25.7452	48.3329
Argusvlinder	Kustduinen en polders	trend_total	Argusvlinder	Lasiommata megera	2016	2024	1	3	2016-2018	2022-2024	-59.7034	9.61879	-75.6069	-37.9436	-64.1815	-67.9029	-73.6275	-57.0015	-52.1428	-42.2985
Argusvlinder	Limburg	trend_total	Argusvlinder	Lasiommata megera	2017	2024	1	3	2017-2017	2023-2024	-52.662	23.3347	-82.8059	6.66049	-64.5731	-71.2763	-80.1349	-49.4195	-37.4178	-8.38971
Heivlinder	Antwerpen en Limburg	trend_total	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-41.2739	10.9626	-59.943	-16.9611	-46.2657	-50.6394	-57.5153	-38.0027	-32.5252	-21.6698
Heivlinder	Kustduinen en polders	trend_total	Heivlinder	Hipparchia semele	2016	2024	1	3	2016-2018	2022-2024	-37.477	15.8018	-62.9024	-1.02349	-44.9387	-50.8462	-59.8226	-33.3409	-25.324	-8.6189
