parameter	soort_nl	soort_wet	meetcyclus	ref_meetcyclus	periode	ref_periode	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95	duur_meetcyclus	jaar_min	jaar_max
index	Argusvlinder	Lasiommata megera	2	1	2019-2021	2016-2018	0.485612	0.0769444	0.449309	0.418721	0.372274	0.354015	0.509792	0.550246	0.624066	0.653895	3	2019	2021
index	Argusvlinder	Lasiommata megera	3	1	2022-2024	2016-2018	0.664369	0.106168	0.616448	0.577141	0.506046	0.48528	0.696888	0.750476	0.851415	0.890973	3	2022	2024
index	Heivlinder	Hipparchia semele	2	1	2019-2021	2016-2018	0.479702	0.0736376	0.445506	0.418194	0.37055	0.35702	0.500873	0.538173	0.615211	0.64636	3	2019	2021
index	Heivlinder	Hipparchia semele	3	1	2022-2024	2016-2018	0.636277	0.0993504	0.589391	0.549419	0.490242	0.471069	0.6672	0.715919	0.806494	0.855321	3	2022	2024
index	Oranje zandoogje	Pyronia tithonus	2	1	2020-2022	2017-2019	1.20045	0.14661	1.14323	1.08219	0.964122	0.915633	1.24477	1.31494	1.44708	1.49443	3	2020	2022
index	Oranje zandoogje	Pyronia tithonus	3	1	2023-2025	2017-2019	1.03027	0.131507	0.97519	0.918785	0.823197	0.785911	1.0734	1.14361	1.25753	1.30115	3	2023	2025
