parameter	soort_nl	soort_wet	meetcyclus	ref_meetcyclus	periode	ref_periode	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95	duur_meetcyclus	jaar_min	jaar_max	regio
index	Argusvlinder	Lasiommata megera	2	1	2019-2021	2016-2018	0.622117	0.136114	0.561618	0.509394	0.420092	0.384038	0.662093	0.73579	0.865943	0.921567	3	2019	2021	Antwerpse haven
index	Argusvlinder	Lasiommata megera	2	1	2019-2021	2016-2018	0.417734	0.0980891	0.370115	0.330635	0.279144	0.255487	0.445422	0.497442	0.5866	0.645641	3	2019	2021	Kustduinen en polders
index	Argusvlinder	Lasiommata megera	3	1	2022-2024	2016-2018	1.12911	0.236544	1.02022	0.922557	0.782992	0.738072	1.19462	1.32228	1.5564	1.62355	3	2022	2024	Antwerpse haven
index	Argusvlinder	Lasiommata megera	3	1	2022-2024	2016-2018	0.419173	0.0941403	0.376934	0.339759	0.277404	0.256909	0.450998	0.494001	0.590364	0.621051	3	2022	2024	Kustduinen en polders
index	Heivlinder	Hipparchia semele	2	1	2019-2021	2016-2018	0.274505	0.0484672	0.251904	0.231473	0.205774	0.195211	0.289478	0.312904	0.364202	0.383665	3	2019	2021	Antwerpen en Limburg
index	Heivlinder	Hipparchia semele	2	1	2019-2021	2016-2018	1.15086	0.238745	1.0383	0.9466	0.788462	0.755484	1.22149	1.33673	1.57793	1.68796	3	2019	2021	Kust
index	Heivlinder	Hipparchia semele	3	1	2022-2024	2016-2018	0.642776	0.109746	0.594577	0.551162	0.478737	0.455656	0.678729	0.73528	0.831713	0.869212	3	2022	2024	Antwerpen en Limburg
index	Heivlinder	Hipparchia semele	3	1	2022-2024	2016-2018	0.576495	0.134346	0.515219	0.459871	0.383114	0.36009	0.610101	0.67695	0.818529	0.873328	3	2022	2024	Kust
