soort_nl	soort_wet	levensstadium	meetcyclus_ref	meetcyclus	mean	lcl_0.90	ucl_0.90	parameter	sd	lcl_0.30	lcl_0.60	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.95	type_model
Boomkikker	Hyla arborea	adult	2016_2018	meetcyclus2019_2021	1.13302	0.890257	1.41096	index	0.156328	1.06822	1.00113	0.849372	1.18162	1.25855	1.46813	NA
Boomkikker	Hyla arborea	adult	2016_2018	meetcyclus2022_2024	1.40592	1.09108	1.77484	index	0.211039	1.31248	1.2332	1.04153	1.46517	1.56432	1.88671	NA
Boomkikker	Hyla arborea	larve	2016_2018	meetcyclus2019_2021	0.820879	0.467394	1.32479	index	0.260708	0.690646	0.600825	0.423636	0.884832	1.02217	1.42098	NA
Boomkikker	Hyla arborea	larve	2016_2018	meetcyclus2022_2024	0.779881	0.438926	1.25832	index	0.257501	0.658575	0.568705	0.402229	0.831987	0.969181	1.3888	NA
Kamsalamander	Triturus cristatus	adult	2017_2020	meetcyclus2021_2023	1.10869	0.780684	1.54258	index	0.226869	1.00371	0.9045	0.73028	1.17867	1.28177	1.62594	NA
Kamsalamander	Triturus cristatus	larve	2017_2020	meetcyclus2021_2023	1.14919	0.574243	1.97138	index	0.477965	0.941585	0.788015	0.501537	1.21799	1.44726	2.25397	NA
Rugstreeppad	Epidalea calamita	adult	2019_2021	meetcyclus2022_2024	2.57938	1.00291	5.04927	index	1.34675	1.86913	1.50341	0.906033	2.78204	3.50512	6.04562	offset
Rugstreeppad	Epidalea calamita	adult	2019_2021	meetcyclus2022_2024	2.81599	1.45234	4.9666	index	1.09443	2.26673	1.91631	1.28152	3.03548	3.60897	5.39891	no offset
