parameter	soort_nl	levensstadium	mean	lcl_0.95	lcl_0.90	ucl_0.95	ucl_0.90
aantal	heikikker	eitjes	41.997133551777	24.1792873112826	26.4492562409005	73.0999998278653	66.7693015449596
aantal_tot	heikikker	eitjes	75.2231675784147	41.2011366115077	45.4500279454996	137.797926988638	124.748210490571
occurence	heikikker	eitjes	0.544757041853244	0.426116769222921	0.444976745672598	0.658525408058274	0.641068623310749
prop_hei	heikikker	eitjes	0.67188403771097	0.649150691332894	0.652854936227882	0.69383909350728	0.690364759859092
aantal	poelkikker	adult	4.18176744348262	2.77583850460152	2.9676647386725	6.30877845057029	5.8976020529379
aantal_max	poelkikker	adult	6.33399433344311	3.81847861554656	4.148998603737	10.5406503062472	9.68834537169542
occurence	poelkikker	larve	0.663130644732719	0.523026896187564	0.546426391465553	0.779435691798769	0.762839699942273
prop_poel	poelkikker	larve	0.40604530751788	0.380363953150571	0.384452004230706	0.432251028081399	0.428008122116478
