soort_nl	soort_wet	levensstadium	ref_jaar	jaar	mean	lcl_0.90	ucl_0.90	parameter	jaar_centered	sd	lcl_0.30	lcl_0.60	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.95
Boomkikker	Hyla arborea	adult	2016	2016	NA	NA	NA	diff_previous_year	1	NA	NA	NA	NA	NA	NA	NA
Boomkikker	Hyla arborea	adult	2016	2016	NA	NA	NA	index	1	NA	NA	NA	NA	NA	NA	NA
Boomkikker	Hyla arborea	adult	2016	2016	-0.113688	-0.290921	0.0204813	sample_value	1	0.0978378	-0.141986	-0.194121	-0.327813	-0.0679367	-0.0300285	0.0487011
Boomkikker	Hyla arborea	adult	2016	2017	1.0176	0.875791	1.18213	diff_previous_year	2	0.0943233	0.99019	0.950943	0.843441	1.03708	1.0758	1.22498
Boomkikker	Hyla arborea	adult	2016	2017	1.0176	0.875791	1.18213	index	2	0.0943233	0.99019	0.950943	0.843441	1.03708	1.0758	1.22498
Boomkikker	Hyla arborea	adult	2016	2017	-0.100426	-0.26314	0.0243612	sample_value	2	0.088887	-0.121431	-0.1676	-0.29547	-0.058827	-0.0276756	0.0428159
Boomkikker	Hyla arborea	adult	2016	2018	1.05959	0.919511	1.25847	diff_previous_year	3	0.106856	1.01623	0.985274	0.890753	1.07563	1.1229	1.31045
Boomkikker	Hyla arborea	adult	2016	2018	1.07596	0.897182	1.33229	index	3	0.130208	1.01713	0.980869	0.86739	1.09574	1.16371	1.39435
Boomkikker	Hyla arborea	adult	2016	2018	-0.047388	-0.181247	0.0722772	sample_value	3	0.0771299	-0.071514	-0.105295	-0.206575	-0.0185677	0.00896678	0.10279
Boomkikker	Hyla arborea	adult	2016	2019	1.03729	0.887562	1.21129	diff_previous_year	4	0.101796	0.999287	0.968794	0.843281	1.05921	1.10042	1.26311
Boomkikker	Hyla arborea	adult	2016	2019	1.11202	0.926012	1.3723	index	4	0.144704	1.04214	0.998593	0.889906	1.14014	1.21951	1.45729
Boomkikker	Hyla arborea	adult	2016	2019	-0.0154499	-0.140576	0.115804	sample_value	4	0.0771845	-0.0382123	-0.0710229	-0.17034	0.00631869	0.0371266	0.150228
Boomkikker	Hyla arborea	adult	2016	2020	0.999	0.842494	1.15815	diff_previous_year	5	0.0932076	0.975537	0.933316	0.800865	1.02673	1.06276	1.19382
Boomkikker	Hyla arborea	adult	2016	2020	1.10609	0.91106	1.36581	index	5	0.142844	1.04072	0.994629	0.874504	1.13495	1.21991	1.43065
Boomkikker	Hyla arborea	adult	2016	2020	-0.0208646	-0.140795	0.0857694	sample_value	5	0.0716253	-0.0373232	-0.0777775	-0.179746	0.0062719	0.0326508	0.114475
Boomkikker	Hyla arborea	adult	2016	2021	1.02261	0.877441	1.19246	diff_previous_year	6	0.096462	0.989428	0.962588	0.831123	1.04308	1.08122	1.2388
Boomkikker	Hyla arborea	adult	2016	2021	1.12855	0.911948	1.42553	index	6	0.164259	1.05654	0.999594	0.858968	1.16112	1.25299	1.48938
Boomkikker	Hyla arborea	adult	2016	2021	-0.00287208	-0.140745	0.120018	sample_value	6	0.0797702	-0.0230631	-0.0543747	-0.179795	0.0232402	0.0516208	0.15165
Boomkikker	Hyla arborea	adult	2016	2022	1.03999	0.891024	1.23637	diff_previous_year	7	0.104757	1.00129	0.967704	0.860493	1.05629	1.10711	1.27815
Boomkikker	Hyla arborea	adult	2016	2022	1.16884	0.930176	1.51981	index	7	0.177086	1.08146	1.02718	0.896701	1.21392	1.29976	1.60489
Boomkikker	Hyla arborea	adult	2016	2022	0.0314458	-0.103192	0.167442	sample_value	7	0.0827565	0.00530997	-0.0256095	-0.152723	0.057642	0.0941205	0.20514
Boomkikker	Hyla arborea	adult	2016	2023	1.11044	0.966817	1.36513	diff_previous_year	8	0.133145	1.03969	1.01121	0.94529	1.12272	1.19613	1.46137
Boomkikker	Hyla arborea	adult	2016	2023	1.294	0.996468	1.71581	index	8	0.22529	1.17671	1.10014	0.966433	1.34651	1.47047	1.7918
Boomkikker	Hyla arborea	adult	2016	2023	0.129713	-0.00388094	0.301909	sample_value	8	0.0959155	0.0825099	0.044143	-0.0201536	0.157429	0.210235	0.342941
Boomkikker	Hyla arborea	adult	2016	2024	1.01597	0.843444	1.21899	diff_previous_year	9	0.114686	0.981053	0.941069	0.797752	1.03787	1.07906	1.28473
Boomkikker	Hyla arborea	adult	2016	2024	1.31274	0.987215	1.83088	index	9	0.268788	1.17607	1.08943	0.960692	1.3525	1.49219	1.99574
Boomkikker	Hyla arborea	adult	2016	2024	0.13953	-0.029331	0.373812	sample_value	9	0.125519	0.0796181	0.0365454	-0.0654476	0.162575	0.237121	0.431378
Boomkikker	Hyla arborea	larve	2016	2016	NA	NA	NA	diff_previous_year	1	NA	NA	NA	NA	NA	NA	NA
Boomkikker	Hyla arborea	larve	2016	2016	NA	NA	NA	index	1	NA	NA	NA	NA	NA	NA	NA
Boomkikker	Hyla arborea	larve	2016	2016	0.312059	-0.121552	0.714304	sample_value	1	0.253434	0.217779	0.0985947	-0.188616	0.409169	0.52157	0.791052
Boomkikker	Hyla arborea	larve	2016	2017	1.08392	0.543254	1.88484	diff_previous_year	2	0.424103	0.865946	0.727179	0.475938	1.17248	1.40665	2.14978
Boomkikker	Hyla arborea	larve	2016	2017	1.08392	0.543254	1.88484	index	2	0.424103	0.865946	0.727179	0.475938	1.17248	1.40665	2.14978
Boomkikker	Hyla arborea	larve	2016	2017	0.319565	-0.187937	0.883179	sample_value	2	0.32439	0.179329	0.0567834	-0.276692	0.435876	0.583021	0.995983
Boomkikker	Hyla arborea	larve	2016	2018	1.85316	0.797052	3.48608	diff_previous_year	3	0.88769	1.42036	1.14773	0.639552	2.00042	2.42519	4.07375
Boomkikker	Hyla arborea	larve	2016	2018	1.84281	0.871185	3.34289	index	3	0.840285	1.42421	1.20754	0.759471	1.92281	2.38178	3.77005
