parameter	soort_nl	soort_wet	jaar	ref_jaar	jaar_centered	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95	model_description	meetnet
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2017	2016	2	0.866215	0.198468	0.786905	0.700538	0.574415	0.521114	0.922688	1.01614	1.22908	1.28135	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2017	2016	2	1.05437	0.29758	0.915111	0.815765	0.675894	0.623695	1.11587	1.2602	1.588	1.77669	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2018	2016	3	0.870707	0.206103	0.784886	0.705401	0.568856	0.525226	0.930793	1.01273	1.22202	1.33703	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2018	2016	3	0.708067	0.192986	0.622399	0.541409	0.412604	0.366634	0.774847	0.863049	1.04459	1.11904	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2019	2016	4	0.961018	0.223522	0.863462	0.78353	0.648562	0.604739	1.01149	1.11715	1.35462	1.46122	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2019	2016	4	0.846637	0.228242	0.7493	0.659279	0.503129	0.451255	0.919665	1.01816	1.25506	1.34133	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2020	2016	5	0.976938	0.228121	0.874244	0.791918	0.674974	0.627931	1.02303	1.13206	1.39436	1.52964	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2020	2016	5	1.25385	0.405791	1.05922	0.948388	0.765085	0.697095	1.30189	1.51594	2.00065	2.24637	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2021	2016	6	0.785812	0.181091	0.707248	0.634375	0.515873	0.466789	0.840887	0.935172	1.10221	1.13729	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2021	2016	6	1.16274	0.345068	0.998282	0.891954	0.718768	0.677079	1.21652	1.39725	1.82135	2.03308	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2022	2016	7	0.821339	0.188914	0.75247	0.665505	0.536581	0.497619	0.867538	0.958098	1.14664	1.25173	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2022	2016	7	0.881718	0.235297	0.775461	0.690936	0.556112	0.488509	0.942358	1.05401	1.28619	1.40052	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2023	2016	8	0.79574	0.188723	0.721498	0.637534	0.505799	0.457968	0.861104	0.933077	1.10476	1.19922	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2023	2016	8	0.556422	0.175783	0.475926	0.405026	0.288305	0.27142	0.617504	0.700731	0.865555	0.909498	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2024	2016	9	0.876524	0.206976	0.791508	0.706172	0.57921	0.508565	0.932258	1.02212	1.25845	1.37041	without offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2024	2016	9	0.79692	0.213761	0.713278	0.623044	0.477666	0.437285	0.86104	0.937561	1.15982	1.26538	with offset	Gentiaanblauwtje
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2025	2016	10	0.951613	0.227637	0.855683	0.760157	0.627323	0.565885	1.00978	1.11347	1.35853	1.48629	without offset	Gentiaanblauwtje
