parameter	soort_nl	soort_wet	jaar	ref_jaar	jaar_centered	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95	model_description	meetnet
diff_previous_year	Gentiaanblauwtje	Gentiaanblauwtje	2025	2016	10	1.03968	0.310997	0.896064	0.790235	0.652037	0.58148	1.08247	1.24077	1.59769	1.84441	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2017	2016	2	0.866215	0.198468	0.786905	0.700538	0.574415	0.521114	0.922688	1.01614	1.22908	1.28135	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2017	2016	2	1.05437	0.29758	0.915111	0.815765	0.675894	0.623695	1.11587	1.2602	1.588	1.77669	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2018	2016	3	0.744659	0.212354	0.648298	0.567585	0.42984	0.386372	0.810361	0.913193	1.13009	1.2299	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2018	2016	3	0.731623	0.244461	0.61548	0.528257	0.404236	0.350171	0.783691	0.903567	1.19091	1.29325	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2019	2016	4	0.699171	0.205101	0.604107	0.532465	0.406952	0.351192	0.753829	0.861595	1.06263	1.18031	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2019	2016	4	0.603978	0.224466	0.498882	0.420546	0.304207	0.265407	0.647714	0.753328	1.00477	1.16529	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2020	2016	5	0.667487	0.205085	0.570197	0.499057	0.380271	0.344402	0.719968	0.820279	1.02967	1.13414	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2020	2016	5	0.71941	0.258274	0.60085	0.513842	0.369957	0.334756	0.769087	0.90224	1.20443	1.32545	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2021	2016	6	0.514388	0.167901	0.433556	0.374672	0.268826	0.238215	0.557373	0.635545	0.815056	0.915671	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2021	2016	6	0.810391	0.318948	0.661054	0.55567	0.408767	0.379053	0.86849	1.00833	1.40329	1.63098	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2022	2016	7	0.415683	0.14792	0.345813	0.287751	0.205903	0.187082	0.458443	0.532965	0.675557	0.736927	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2022	2016	7	0.687256	0.257112	0.560451	0.475554	0.361372	0.328475	0.735727	0.868273	1.17438	1.33286	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2023	2016	8	0.325646	0.128171	0.259632	0.220109	0.157216	0.138859	0.354746	0.42414	0.571729	0.639277	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2023	2016	8	0.367775	0.146002	0.296789	0.241761	0.174276	0.15392	0.402245	0.478359	0.646556	0.698474	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2024	2016	9	0.28149	0.12012	0.216382	0.175778	0.130449	0.112132	0.307978	0.378916	0.506639	0.565918	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2024	2016	9	0.286043	0.124006	0.222928	0.184319	0.132344	0.114741	0.306247	0.374779	0.522083	0.570365	with offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2025	2016	10	0.266069	0.126437	0.200949	0.156959	0.105	0.0906197	0.29116	0.352952	0.513956	0.570748	without offset	Gentiaanblauwtje
index	Gentiaanblauwtje	Gentiaanblauwtje	2025	2016	10	0.287043	0.128952	0.221385	0.182914	0.129554	0.112306	0.304594	0.382055	0.530336	0.601923	with offset	Gentiaanblauwtje
