meetnet	parameter	soort_nl	soort_wet	jaar	ref_jaar	jaar_centered	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2018	2018	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2019	2018	2	0.547771	0.151165	0.470612	0.414436	0.338817	0.317901	0.592342	0.670652	0.832807	0.897823
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2020	2018	3	1.05936	0.239239	0.951147	0.855694	0.720962	0.662006	1.13663	1.25026	1.49193	1.60895
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2021	2018	4	1.98804	0.57457	1.68564	1.48648	1.20931	1.12393	2.15006	2.42956	3.06983	3.32882
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2022	2018	5	0.868674	0.197864	0.783104	0.707717	0.582368	0.51789	0.92551	1.01912	1.20209	1.30741
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2023	2018	6	0.932609	0.206405	0.833927	0.769033	0.648684	0.595394	0.984822	1.09754	1.32731	1.40918
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2024	2018	7	0.703055	0.163128	0.627506	0.564654	0.463105	0.423558	0.753166	0.831203	0.995573	1.05132
Bruine eikenpage	diff_previous_year	Bruine eikenpage	Satyrium ilicis	2025	2018	8	0.796976	0.204938	0.710231	0.62782	0.510412	0.461777	0.851088	0.945525	1.14772	1.26529
Grote weerschijnvlinder	diff_previous_year	Grote weerschijnvlinder	Apatura iris	2018	2018	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Grote weerschijnvlinder	diff_previous_year	Grote weerschijnvlinder	Apatura iris	2019	2018	2	0.298904	0.107204	0.247851	0.208331	0.158973	0.139657	0.321124	0.377483	0.496989	0.539374
Grote weerschijnvlinder	diff_previous_year	Grote weerschijnvlinder	Apatura iris	2020	2018	3	0.560089	0.19086	0.473521	0.39823	0.291633	0.254172	0.610804	0.702521	0.899342	1.00172
Grote weerschijnvlinder	diff_previous_year	Grote weerschijnvlinder	Apatura iris	2021	2018	4	1.42773	0.590111	1.15078	0.988467	0.727844	0.648144	1.5023	1.78631	2.50392	2.94912
