meetnet	parameter	soort_nl	soort_wet	indexmodel	trendmodel	diff_waic	type_trend
Bruine eikenpage	waic	Bruine eikenpage	Satyrium ilicis	885.354	903.312	17.9578	Niet lineair
Grote weerschijnvlinder	waic	Grote weerschijnvlinder	Apatura iris	393.186	408.702	15.5161	Niet lineair
